municipio,tipo_vivienda,habitaciones,metros_cuadrados,aseos,planta,garaje,zona_centro,ascensor,piscina,reformado,terraza,aire_acondicionado,precio
1,5,4.0,72.0,1.0,5.0,0,0,0,0,0,0,0,109000.0
1,5,3.0,117.0,2.0,5.0,0,0,1,0,0,0,0,293000.0
1,5,3.0,109.0,2.0,7.0,0,0,1,0,0,0,0,286000.0
1,5,4.0,72.0,1.0,3.0,0,0,0,0,0,0,0,109000.0
1,5,3.0,132.0,2.0,3.0,0,1,1,0,0,1,0,254000.0
1,5,3.0,95.0,1.0,1.0,0,1,1,0,0,0,0,165000.0
1,2,4.0,140.0,3.0,0.0,0,0,0,1,0,0,0,545000.0
1,5,3.0,115.0,2.0,3.0,0,0,1,0,0,0,0,205000.0
1,0,4.0,90.0,2.0,4.0,0,1,0,0,0,1,0,260000.0
1,0,4.0,89.0,2.0,4.0,0,1,0,0,0,1,0,260000.0
1,6,2.0,47.0,1.0,0.0,0,0,1,0,0,0,0,128000.0
1,5,3.0,134.0,2.0,1.0,0,1,1,0,0,0,0,185000.0
1,5,3.0,114.0,2.0,2.0,0,0,1,0,0,0,0,175000.0
1,5,3.0,114.0,2.0,3.0,0,0,1,0,0,1,0,274000.0
1,5,4.0,131.0,2.0,1.0,0,0,1,0,0,0,0,243000.0
1,2,4.0,136.0,3.0,0.0,0,0,0,0,0,0,0,370000.0
1,6,2.0,63.0,1.0,0.0,0,0,1,0,0,0,0,132000.0
1,5,3.0,113.0,2.0,2.0,0,0,1,0,0,0,0,189800.0
1,5,3.0,112.0,2.0,2.0,0,0,1,0,0,0,0,189800.0
1,1,4.0,329.0,2.0,0.0,0,0,0,0,0,1,0,429000.0
1,2,4.0,143.0,2.0,0.0,0,0,0,1,0,1,0,566000.0
1,2,2.0,73.0,1.0,0.0,0,0,0,0,0,1,0,260000.0
1,5,2.0,120.0,2.0,6.0,0,0,1,0,0,0,0,220000.0
1,5,4.0,115.0,1.0,2.0,0,1,1,0,0,0,0,179900.0
1,5,3.0,100.0,2.0,4.0,0,0,1,0,0,0,0,149000.0
1,0,4.0,98.0,2.0,4.0,0,1,0,0,0,1,0,130000.0
1,5,2.0,58.0,1.0,4.0,0,0,0,0,0,0,0,69900.0
1,5,4.0,115.0,2.0,3.0,1,0,1,0,0,0,0,280000.0
1,5,3.0,190.0,3.0,3.0,0,0,1,0,0,0,0,220000.0
1,5,4.0,90.0,1.0,5.0,0,0,1,0,0,0,0,150000.0
1,0,4.0,187.0,2.0,4.0,1,1,0,0,0,1,0,295000.0
1,5,3.0,49.0,1.0,3.0,0,0,1,0,0,0,0,120000.0
1,2,5.0,359.0,2.0,0.0,0,0,0,0,0,1,0,649000.0
1,6,2.0,200.0,1.0,0.0,0,0,0,0,0,0,0,190000.0
1,0,6.0,326.0,1.0,4.0,0,1,0,0,0,1,0,210000.0
1,5,2.0,88.0,2.0,7.0,0,0,1,0,0,0,0,236000.0
1,5,2.0,95.0,2.0,7.0,0,0,1,0,0,0,0,259000.0
1,5,3.0,64.0,1.0,5.0,0,0,1,0,0,0,0,178000.0
1,5,2.0,77.0,1.0,3.0,0,0,1,0,0,1,0,208000.0
1,5,3.0,147.0,2.0,1.0,0,1,1,0,0,0,0,195000.0
1,5,3.0,86.0,2.0,3.0,0,0,0,0,0,0,0,133950.0
1,5,4.0,131.0,2.0,1.0,0,0,1,0,0,0,0,315000.0
1,5,4.0,237.0,4.0,3.0,0,0,0,1,0,0,0,860000.0
1,2,5.0,230.0,1.0,0.0,0,0,0,0,0,1,0,240000.0
1,0,5.0,831.0,2.0,4.0,0,1,0,0,0,1,0,425000.0
1,2,4.0,292.0,1.0,0.0,0,0,0,0,0,0,0,265000.0
1,5,4.0,136.0,2.0,3.0,0,1,1,0,0,0,0,175000.0
1,2,5.0,203.0,3.0,0.0,0,0,0,0,0,0,0,340000.0
1,2,4.0,85.0,2.0,0.0,0,0,0,0,0,0,0,100000.0
1,0,4.0,60.0,1.0,4.0,0,1,0,0,0,0,0,114999.0
1,2,4.0,200.0,3.0,0.0,0,0,0,0,0,1,0,375000.0
1,5,2.0,77.0,1.0,3.0,0,0,0,0,0,0,0,139000.0
1,5,4.0,110.0,1.0,2.0,0,1,1,0,0,0,0,190000.0
1,5,3.0,100.0,3.0,1.0,0,0,1,0,0,0,0,180000.0
1,2,5.0,170.0,4.0,0.0,0,0,0,0,0,1,0,500000.0
1,5,2.0,85.0,1.0,4.0,0,0,0,0,0,1,0,185000.0
1,2,5.0,247.0,2.0,0.0,0,0,0,0,0,1,0,600000.0
1,2,4.0,347.0,2.0,0.0,0,0,0,0,0,1,0,650000.0
1,5,3.0,115.0,2.0,2.0,0,0,0,0,0,0,0,145000.0
1,2,4.0,105.0,2.0,0.0,0,0,0,0,0,1,0,285000.0
1,2,5.0,220.0,2.0,0.0,0,0,0,0,0,1,0,479990.0
1,5,3.0,79.0,1.0,4.0,0,1,0,0,0,0,0,87000.0
1,5,3.0,121.0,2.0,2.0,1,0,1,0,0,0,0,205000.0
